Education,Marital Status,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Discount Purchases,Web,Catalog,Store,NumWebVisitsMonth,Age,Children,total_spend,total_promo,Parental_status,Days_as_Customer,cluster
2,0,70287.0,30,295,35,482,120.5,81,40.0,1,5,5,10,3,59,0,1093.0,0,0,4474.0,0
2,0,27938.0,31,13,0,8,2.0,1,5.0,1,1,0,4,3,37,1,29.0,0,1,4083.0,1
2,0,51381.5,57,11,3,22,2.0,2,6.0,2,2,0,3,6,43,1,46.0,0,1,4398.0,1
4,1,55954.0,63,447,0,28,0.0,0,43.0,3,8,2,6,7,57,1,518.0,0,1,4139.0,2
3,0,75777.0,12,712,26,538,69.0,13,80.0,1,3,6,11,1,43,0,1438.0,2,0,4381.0,0
2,1,66653.0,18,452,18,102,16.0,18,6.0,4,4,2,12,3,50,2,612.0,0,1,4681.0,2
2,0,61823.0,26,523,7,134,37.0,14,126.5,4,8,2,10,7,73,1,884.0,0,1,4517.0,2
4,0,67680.0,8,546,0,48,0.0,6,6.0,1,7,3,8,5,74,1,606.0,0,1,4404.0,2
2,1,70666.0,29,398,40,367,119.0,81,30.0,1,7,4,4,4,77,0,1076.0,0,0,4226.0,0
2,1,25721.0,75,1,3,6,3.0,6,15.0,1,1,1,2,7,54,1,34.0,0,1,4425.0,1
2,1,32474.0,0,10,0,1,0.0,0,0.0,1,1,0,2,7,58,2,11.0,0,1,4070.0,1
1,0,88194.0,19,688,14,309,120.5,24,38.0,1,11,10,10,5,46,1,1274.0,2,1,4123.0,0
2,1,69096.0,4,247,49,159,7.0,81,109.0,1,5,2,10,4,67,1,653.0,0,1,4296.0,2
2,1,74854.0,90,856,59,487,58.0,29,73.0,7,2,5,5,5,55,3,1562.0,0,1,4468.0,2
3,1,66991.0,1,496,36,460,120.5,60,12.0,3,4,8,6,3,71,0,1253.0,0,0,4677.0,0
1,1,51381.5,25,25,3,43,17.0,4,17.0,3,3,0,3,8,52,1,109.0,0,1,4674.0,1
2,1,65031.0,29,258,81,291,84.0,37,86.0,4,10,3,13,7,66,1,863.0,0,1,4490.0,2
4,1,60631.0,88,565,6,65,0.0,6,19.0,5,9,2,8,7,50,2,661.0,1,1,4471.0,2
2,1,28332.0,58,14,10,13,4.0,15,9.0,1,2,1,4,2,73,0,65.0,0,0,4081.0,1
2,0,40246.0,68,2,1,6,2.0,1,1.0,1,1,0,2,6,48,1,13.0,0,1,4578.0,1
3,1,75251.0,34,721,81,556,97.0,18,18.0,1,7,6,5,5,53,0,1890.0,0,0,4692.0,0
2,0,75825.0,40,1032,81,556,120.5,81,51.0,0,5,8,9,4,49,0,2209.0,1,0,4646.0,0
1,1,26326.0,12,1,0,5,0.0,3,9.0,1,0,0,3,3,49,0,18.0,0,0,4319.0,1
2,1,56046.0,9,577,0,64,0.0,0,51.0,2,10,1,8,8,60,0,692.0,1,0,4564.0,2
2,0,29760.0,87,64,4,68,7.0,5,17.0,4,3,1,4,8,40,1,165.0,0,1,4690.0,1
2,1,26304.0,5,4,1,5,2.0,0,4.0,1,1,0,2,7,56,1,16.0,0,1,4392.0,1
1,1,23559.0,87,25,5,19,7.0,0,23.0,3,3,0,3,7,52,1,79.0,0,1,4382.0,1
3,1,38620.0,56,112,17,44,34.0,22,89.0,1,2,5,3,3,62,0,318.0,0,0,4435.0,0
2,0,81361.0,18,163,23,424,27.0,65,76.0,1,3,10,13,1,38,0,778.0,0,0,4145.0,0
2,1,29440.0,95,17,8,14,10.0,4,3.0,2,1,0,4,7,65,2,56.0,0,1,4343.0,1
3,1,36138.0,48,130,0,16,0.0,0,5.0,5,3,1,4,7,55,2,151.0,1,1,4369.0,1
2,0,50388.0,3,292,6,37,0.0,3,34.0,4,6,1,6,7,68,1,372.0,2,1,4053.0,2
2,1,79593.0,70,350,60,556,110.0,81,126.5,1,5,6,7,2,52,0,1366.0,1,0,4069.0,0
2,1,54178.0,79,135,9,39,4.0,0,7.0,1,2,2,5,2,58,1,194.0,0,1,4180.0,1
4,1,51381.5,4,230,42,192,49.0,37,53.0,12,7,2,8,9,68,3,603.0,0,1,4608.0,2
2,0,51381.5,45,7,0,8,2.0,0,1.0,1,1,0,2,7,68,2,18.0,0,1,4054.0,1
3,1,51381.5,87,445,37,359,98.0,28,18.0,1,2,4,8,1,52,0,985.0,0,0,4239.0,0
3,0,42394.0,69,15,2,10,0.0,1,4.0,1,1,0,3,7,53,1,32.0,0,1,4119.0,1
4,1,23626.0,84,27,2,14,0.0,0,0.0,3,3,1,3,5,55,1,43.0,0,1,4057.0,1
2,1,30096.0,30,5,3,11,12.0,5,9.0,1,2,0,3,6,42,1,45.0,0,1,4059.0,1
2,0,47916.0,72,505,0,26,0.0,0,75.0,5,7,4,6,6,65,1,606.0,1,1,4605.0,2
2,0,51813.0,37,51,2,7,0.0,1,2.0,2,2,0,3,7,53,2,63.0,0,1,4465.0,1
1,1,78497.0,44,207,26,447,75.0,0,126.5,1,5,7,12,2,74,0,978.0,1,0,4231.0,0
4,1,50150.0,32,135,46,92,65.0,61,11.0,2,5,2,7,5,42,0,410.0,0,0,4395.0,0
1,0,47823.0,0,53,1,5,2.0,1,10.0,2,2,0,3,8,65,1,72.0,0,1,4362.0,1
4,0,34554.0,43,41,1,6,2.0,0,5.0,2,2,0,3,6,66,1,55.0,0,1,4112.0,1
2,1,85693.0,59,386,81,183,120.5,81,111.0,2,9,5,11,5,46,1,1169.0,0,1,4456.0,0
4,1,65846.0,68,562,81,276,80.0,40,81.0,1,6,3,6,4,80,0,1120.0,0,0,4429.0,0
2,1,87195.0,35,217,76,556,50.0,26,38.0,1,3,11,5,1,66,0,1097.0,0,0,4073.0,0
0,1,24594.0,94,1,3,6,10.0,0,9.0,1,1,0,3,5,46,1,29.0,0,1,4222.0,1
2,1,49096.0,15,144,1,32,2.0,1,7.0,4,4,1,4,7,61,2,187.0,0,1,4299.0,1
2,1,52413.0,56,295,81,271,75.0,81,65.0,4,6,4,12,6,56,2,910.0,0,1,4533.0,2
2,0,38557.0,17,76,3,31,4.0,4,27.0,2,3,1,3,7,47,1,145.0,0,1,4578.0,1
3,1,89058.0,18,454,81,106,31.0,22,43.0,1,5,4,4,2,65,0,850.0,0,0,4590.0,0
2,1,77298.0,46,425,81,292,23.0,35,79.0,1,6,6,11,3,46,1,969.0,0,1,4260.0,0
4,0,68126.0,40,1225,17,311,23.0,51,86.0,1,7,4,5,9,34,0,1820.0,1,0,4617.0,0
3,1,57288.0,27,527,0,21,0.0,0,60.0,3,8,1,8,6,62,1,608.0,1,1,4025.0,2
2,0,86037.0,95,490,44,125,29.0,20,22.0,1,6,7,11,3,34,0,730.0,2,0,4564.0,0
4,1,43974.0,19,378,0,101,0.0,0,72.0,5,6,4,6,7,45,1,551.0,0,1,4585.0,2
2,0,50785.0,27,64,1,21,0.0,1,27.0,2,2,1,3,6,63,2,114.0,0,1,4313.0,1
2,1,90765.0,25,547,81,556,120.5,81,33.0,0,4,6,5,1,55,0,1724.0,2,0,4177.0,0
1,1,36550.0,74,47,81,94,120.5,81,120.0,5,9,1,5,9,47,1,577.0,0,1,4516.0,2
1,1,30753.0,85,12,5,25,0.0,9,30.0,2,1,1,3,5,58,2,81.0,0,1,4374.0,1
2,1,21918.0,37,1,6,7,11.0,5,3.0,2,2,0,3,6,56,1,33.0,0,1,4248.0,1
3,1,56129.0,65,320,48,133,39.0,72,48.0,4,6,2,10,4,72,1,660.0,0,1,4395.0,2
3,0,32557.0,13,34,3,29,0.0,4,10.0,3,2,1,3,5,58,1,80.0,0,1,4146.0,1
3,1,19510.0,63,9,0,7,3.0,4,7.0,2,1,0,3,7,40,2,30.0,0,1,4319.0,1
2,0,30992.0,83,17,0,14,7.0,3,2.0,1,1,0,3,7,49,1,43.0,0,1,4454.0,1
2,0,101970.0,69,722,27,102,44.0,72,126.5,0,6,8,13,2,42,0,1135.0,3,0,4495.0,0
1,1,71488.0,87,162,33,124,40.0,28,126.5,2,3,4,7,1,60,0,559.0,0,0,4517.0,0
2,0,79607.0,37,450,81,556,120.5,0,126.5,1,3,6,6,1,41,0,1923.0,0,0,4455.0,0
3,1,54348.0,51,70,0,16,0.0,0,4.0,2,2,0,4,6,72,2,90.0,0,1,4042.0,1
4,1,51381.5,23,352,0,27,10.0,0,15.0,3,6,1,7,6,64,1,404.0,0,1,4374.0,2
4,1,77376.0,72,492,19,110,16.0,12,12.0,4,6,3,10,4,69,2,661.0,0,1,4071.0,2
2,1,62998.0,10,120,58,73,65.0,81,58.0,5,5,4,5,5,73,1,463.0,0,1,4293.0,2
3,0,61331.0,42,534,5,47,0.0,5,41.0,5,11,1,6,8,67,2,632.0,0,1,4497.0,2
2,1,73448.0,10,236,81,189,23.0,41,126.5,1,7,2,9,4,56,0,725.0,0,0,4160.0,0
2,1,51381.5,96,231,65,196,38.0,71,124.0,1,6,5,7,4,62,1,725.0,0,1,4343.0,2
4,1,41551.0,51,220,0,33,3.0,0,23.0,5,5,1,5,8,61,2,279.0,0,1,4340.0,2
4,1,62981.0,21,796,14,556,38.0,44,0.0,1,4,5,13,3,58,0,1482.0,1,0,4490.0,0
0,0,9548.0,31,0,1,3,10.0,6,9.0,2,1,0,3,8,49,1,29.0,0,1,4711.0,1
4,1,33762.0,61,53,1,34,2.0,0,16.0,3,2,2,2,8,66,3,106.0,0,1,4378.0,1
4,0,35860.0,37,15,0,8,4.0,2,20.0,2,1,1,2,5,52,2,49.0,1,1,4062.0,1
4,0,36921.0,74,17,1,12,3.0,1,4.0,2,2,0,3,7,60,2,38.0,0,1,4357.0,1
3,0,92859.0,46,962,61,556,52.0,61,20.0,1,5,4,12,2,33,0,2077.0,0,0,4639.0,0
3,1,65104.0,4,738,0,232,13.0,20,50.0,2,3,5,7,7,49,1,1053.0,0,1,4248.0,2
2,1,86111.0,73,399,28,556,36.0,40,126.0,1,5,7,10,2,63,0,1385.0,0,0,4457.0,0
4,0,68352.0,47,614,16,132,43.0,33,33.0,3,8,5,9,6,51,1,871.0,0,1,4326.0,2
2,1,41883.0,13,32,34,41,73.0,16,116.0,3,4,2,3,7,37,1,312.0,0,1,4488.0,2
2,1,59809.0,36,598,16,141,32.0,41,49.0,3,3,3,6,8,49,2,877.0,0,1,4640.0,2
2,1,23957.0,47,2,1,18,20.0,11,16.0,1,2,0,3,6,50,1,68.0,0,1,4630.0,1
2,1,38547.0,49,6,1,10,0.0,1,4.0,1,1,0,2,8,44,1,22.0,0,1,4326.0,1
1,1,35688.0,94,73,3,90,12.0,1,32.0,7,4,1,4,8,52,3,211.0,0,1,4697.0,2
3,1,49605.0,65,42,16,29,12.0,20,8.0,1,2,1,4,3,59,0,127.0,0,0,4029.0,1
3,1,59354.0,59,295,21,78,39.0,13,13.0,1,4,4,7,3,72,2,459.0,0,1,4087.0,2
2,1,65747.0,96,346,17,48,23.0,13,13.0,4,8,1,6,6,56,1,460.0,1,1,4135.0,2
1,1,46344.0,28,233,20,57,8.0,20,91.0,4,7,1,5,7,53,1,429.0,0,1,4583.0,2
2,0,34176.0,12,5,7,24,19.0,14,20.0,4,3,0,4,6,37,1,89.0,0,1,4069.0,1
4,1,61010.0,57,888,0,57,0.0,0,76.0,2,8,5,11,5,73,1,1021.0,0,1,4649.0,2
2,1,69372.0,10,997,26,269,34.0,13,42.0,1,10,4,6,4,76,0,1381.0,2,0,4516.0,0
2,0,49967.0,4,212,6,69,4.0,12,3.0,3,6,1,5,7,67,1,306.0,0,1,4377.0,2
2,0,60199.0,49,8,1,7,2.0,0,0.0,1,0,0,3,4,47,3,18.0,0,1,4311.0,1
2,1,55375.0,3,42,11,57,10.0,28,14.0,1,1,1,6,2,48,1,162.0,0,1,4276.0,1
2,0,80317.0,64,536,11,387,120.5,81,57.0,1,3,4,10,1,70,0,1231.0,0,0,4334.0,0
3,0,30523.0,0,5,0,3,0.0,0,5.0,1,1,0,2,7,67,3,13.0,0,1,4384.0,1
4,1,70356.0,20,1225,16,249,43.0,16,33.0,2,10,6,9,6,80,0,1706.0,0,0,4622.0,0
2,1,23228.0,91,53,3,49,7.0,4,5.0,4,3,0,4,8,41,1,121.0,0,1,4196.0,1
4,0,74165.0,9,1001,12,240,16.0,12,12.0,1,5,4,10,2,50,0,1293.0,0,0,4445.0,0
4,1,117416.25,98,20,2,556,1.0,2,1.0,15,0,22,0,0,52,1,1608.0,0,1,4141.0,2
2,1,43482.0,83,18,1,32,6.0,3,28.0,3,2,0,4,6,59,3,88.0,0,1,4249.0,1
2,0,62551.0,27,125,16,98,120.5,21,27.0,1,6,7,4,3,72,0,421.0,1,0,4244.0,0
2,0,52332.0,63,212,5,33,7.0,0,2.0,1,3,2,6,4,66,0,259.0,1,0,4326.0,1
2,0,66951.0,46,277,81,305,120.5,76,124.0,1,3,4,7,1,37,0,1117.0,0,0,4260.0,0
2,1,26091.0,84,15,10,19,8.0,17,20.0,3,2,1,3,5,68,2,89.0,0,1,4145.0,1
2,1,33456.0,58,7,3,10,8.0,1,7.0,2,1,0,3,7,60,2,36.0,0,1,4090.0,1
2,1,28718.0,78,12,4,6,11.0,8,16.0,2,2,0,3,8,43,1,57.0,0,1,4372.0,1
2,1,50447.0,4,85,7,24,2.0,3,27.0,1,3,1,3,6,55,2,148.0,0,1,4090.0,1
4,1,53537.0,17,81,0,6,0.0,0,6.0,2,2,1,3,5,66,2,93.0,0,1,4171.0,1
2,0,52074.0,77,59,0,12,0.0,0,48.0,1,2,2,2,4,58,1,119.0,1,1,4107.0,1
4,1,80427.0,56,1149,71,449,69.0,71,26.0,1,11,8,8,5,50,1,1835.0,0,1,4676.0,0
4,1,83837.0,79,847,66,119,86.0,81,111.0,1,9,10,5,4,77,0,1318.0,2,0,4581.0,0
4,1,38853.0,90,29,0,14,0.0,0,2.0,2,2,0,3,7,55,2,45.0,0,1,4058.0,1
2,1,38285.0,96,2,0,5,2.0,0,1.0,1,0,0,3,2,66,3,10.0,0,1,4026.0,1
1,1,78497.0,44,207,26,447,75.0,0,126.5,1,5,7,12,2,74,0,978.0,1,0,4231.0,0
4,1,51650.0,81,152,3,22,2.0,5,7.0,1,4,1,4,5,49,1,191.0,0,1,4070.0,1
1,1,16248.0,77,12,11,10,3.0,12,9.0,3,2,1,3,6,37,1,57.0,0,1,4071.0,1
3,1,66835.0,21,620,26,195,34.0,17,126.5,1,6,4,13,2,79,0,1033.0,0,0,4295.0,0
3,1,30477.0,16,47,1,6,0.0,0,12.0,1,1,1,3,6,41,1,66.0,0,1,4179.0,1
0,1,28249.0,80,1,9,7,2.0,14,10.0,1,2,0,3,6,64,0,43.0,0,0,4035.0,1
2,1,25271.0,45,10,1,18,10.0,4,7.0,1,1,1,2,9,42,1,50.0,0,1,4592.0,1
4,0,32303.0,63,35,0,2,0.0,0,2.0,2,1,0,4,5,55,1,39.0,0,1,4134.0,1
2,1,61286.0,34,356,0,107,19.0,9,117.0,2,7,1,8,5,59,1,608.0,0,1,4352.0,2
2,1,74068.0,14,783,30,537,120.5,76,15.0,1,4,10,9,2,49,0,1581.0,0,0,4488.0,0
4,1,45759.0,13,42,1,18,3.0,0,4.0,2,2,0,3,7,61,2,68.0,0,1,4512.0,1
0,1,24882.0,52,1,4,10,29.0,0,36.0,1,1,1,2,6,47,1,80.0,1,1,4679.0,1
4,1,66973.0,98,466,22,432,120.5,81,102.0,1,8,7,12,3,36,0,1282.0,0,0,4429.0,0
1,0,36640.0,99,15,6,8,7.0,4,25.0,1,2,1,2,5,93,1,65.0,0,1,4297.0,1
2,1,38872.0,93,23,3,21,3.0,19,22.0,2,3,0,3,8,37,1,91.0,0,1,4416.0,1
2,1,51148.0,38,235,6,45,8.0,9,12.0,4,5,1,6,6,52,2,315.0,0,1,4517.0,2
2,1,31353.0,24,10,0,10,3.0,1,7.0,2,1,1,2,8,48,2,31.0,0,1,4203.0,1
3,1,69661.0,80,656,16,106,32.0,16,8.0,1,7,3,12,3,45,0,834.0,0,0,4068.0,0
2,1,80067.0,82,519,17,556,27.0,81,51.0,1,4,6,6,2,71,0,1600.0,1,0,4304.0,0
2,1,86718.0,20,344,81,482,50.0,33,126.5,1,5,6,5,2,71,0,1270.0,0,0,4549.0,0
4,0,46854.0,81,96,1,79,7.0,1,79.0,6,5,1,3,8,52,2,263.0,1,1,4111.0,2
2,0,69142.0,50,448,4,34,6.0,4,39.0,3,8,1,7,5,73,1,535.0,1,1,4021.0,2
2,0,75922.0,60,265,81,553,120.5,23,92.0,1,4,4,9,1,57,0,1295.0,0,0,4223.0,0
2,0,63693.0,63,587,43,337,42.0,81,54.0,3,11,6,9,6,47,1,1150.0,0,1,4279.0,2
4,1,102160.0,54,763,29,138,76.0,81,58.0,0,7,9,10,4,48,0,1240.0,3,0,4625.0,0
4,0,40637.0,72,22,0,13,0.0,0,3.0,2,1,0,3,7,60,2,38.0,0,1,4368.0,1
3,0,18890.0,5,6,4,1,7.0,2,15.0,1,0,1,2,6,41,0,35.0,1,0,4617.0,1
2,1,29604.0,88,7,6,13,7.0,6,14.0,1,1,0,3,9,37,1,53.0,1,1,4224.0,1
3,0,48721.0,50,81,18,113,47.0,13,21.0,6,4,2,5,6,62,2,293.0,0,1,4433.0,2
2,1,44794.0,99,54,0,7,0.0,0,4.0,1,2,0,3,6,59,1,65.0,0,1,4042.0,1
2,0,64497.0,17,1170,48,320,42.0,32,126.5,5,11,4,9,8,71,1,1804.0,1,1,4678.0,2
2,1,46097.0,11,72,24,68,65.0,4,8.0,5,3,1,6,4,69,1,241.0,0,1,4476.0,2
2,1,77972.0,18,613,22,319,33.0,81,12.0,1,4,6,9,1,71,0,1101.0,0,0,4124.0,0
4,1,44377.0,70,224,0,30,0.0,0,10.0,8,5,1,5,8,57,2,264.0,0,1,4653.0,2
3,1,46014.0,21,410,0,59,19.0,9,44.0,10,7,1,8,7,51,2,541.0,0,1,4545.0,2
2,1,70951.0,66,239,10,554,120.5,81,54.0,1,3,4,9,1,40,0,1198.0,0,0,4442.0,0
2,1,41443.0,79,171,7,171,25.0,19,89.0,6,8,1,5,8,48,1,482.0,0,1,4110.0,2
1,0,52195.0,2,12,0,4,0.0,0,1.0,1,1,0,2,8,47,3,17.0,0,1,4069.0,1
3,1,83790.0,81,1076,16,417,42.0,48,16.0,1,8,10,6,3,77,0,1615.0,2,0,4247.0,0
3,0,44551.0,24,182,4,33,0.0,0,66.0,2,4,1,5,7,71,1,285.0,0,1,4323.0,1
2,1,69508.0,48,824,32,162,42.0,32,43.0,2,11,4,11,6,45,1,1135.0,0,1,4613.0,2
1,1,45204.0,93,30,11,25,29.0,1,18.0,1,1,1,4,3,37,1,114.0,0,1,4100.0,1
2,1,72460.0,56,377,10,540,80.0,30,10.0,1,3,5,7,1,56,0,1047.0,0,0,4248.0,0
4,1,77622.0,3,520,7,154,19.0,0,14.0,2,6,3,11,3,55,2,714.0,0,1,4097.0,2
4,1,30732.0,44,155,1,25,0.0,1,3.0,4,4,1,4,8,45,1,185.0,0,1,4561.0,1
2,0,63887.0,38,897,23,207,15.0,11,92.0,5,9,6,12,6,63,1,1245.0,0,1,4680.0,2
2,1,42011.0,46,131,0,16,2.0,1,39.0,4,3,1,4,8,47,1,189.0,0,1,4481.0,1
2,1,51369.0,84,297,7,79,0.0,11,126.5,2,8,2,4,8,49,1,576.0,0,1,4633.0,2
2,0,51537.0,27,787,20,204,0.0,0,92.0,3,2,2,11,8,73,1,1103.0,0,1,4588.0,2
4,1,79930.0,72,792,81,556,67.0,51,17.0,1,3,5,8,2,53,0,1753.0,0,0,4711.0,0
4,1,34320.0,66,4,1,9,3.0,0,0.0,1,1,0,2,8,39,1,17.0,0,1,4154.0,1
2,0,37070.0,30,231,7,137,4.0,15,39.0,9,5,1,8,7,59,2,433.0,0,1,4487.0,2
1,0,81975.0,2,983,76,184,120.5,81,27.0,1,6,3,4,7,63,1,1588.0,1,1,4561.0,0
2,1,38590.0,65,3,1,8,4.0,3,3.0,1,1,0,2,8,54,1,22.0,0,1,4431.0,1
2,0,15033.0,37,0,4,5,6.0,0,4.0,1,1,0,3,3,74,0,19.0,0,0,4095.0,1
4,1,62745.0,89,562,21,464,28.0,10,32.0,3,7,8,11,5,60,1,1117.0,0,1,4484.0,2
1,1,22212.0,49,5,9,20,6.0,8,21.0,2,2,0,4,6,50,1,69.0,0,1,4223.0,1
3,1,23661.0,46,18,0,4,0.0,0,1.0,1,1,0,3,7,43,1,23.0,0,1,4228.0,1
4,0,79761.0,32,415,5,124,15.0,35,11.0,1,5,2,11,3,67,1,605.0,0,1,4289.0,2
2,0,7500.0,54,5,3,10,12.0,7,20.0,4,3,1,3,7,52,1,57.0,0,1,4206.0,1
1,0,60182.0,23,8,0,5,7.0,0,2.0,1,1,0,2,4,93,1,22.0,0,1,4064.0,1
2,0,73455.0,98,901,61,556,120.5,81,20.0,1,6,5,10,3,57,0,2088.0,1,0,4265.0,0
2,1,64961.0,97,382,81,276,75.0,81,38.0,2,6,4,4,3,67,1,1009.0,0,1,4574.0,2
2,0,22804.0,75,14,1,7,2.0,1,1.0,1,2,0,2,9,54,1,26.0,0,1,4354.0,1
2,1,73687.0,8,559,81,503,120.5,13,126.5,1,3,9,9,2,35,0,1627.0,1,0,4234.0,0
